Procedures,URL,Tactic1,Tactic2,Tactic3,Tactic4
PlugX has a module to download and execute files on the compromised machine.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
SILENTTRINITY can create a memory dump of LSASS via the MiniDumpWriteDump Win32 API call.,https://attack.mitre.org//techniques/T1003/001,CREDENTIAL_ACCESS,,,
Vasport is capable of tunneling though a proxy.,https://attack.mitre.org//techniques/T1090,COMMAND_AND_CONTROL,,,
"BackdoorDiplomacy has exploited CVE-2020-5902, an F5 BIP-IP vulnerability, to drop a Linux backdoor. BackdoorDiplomacy has also exploited mis-configured Plesk servers.",https://attack.mitre.org//techniques/T1190,INITIAL_ACCESS,,,
Dragonfly has used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.,https://attack.mitre.org//techniques/T1133,PERSISTENCE,INITIAL_ACCESS,,
KOCTOPUS will attempt to delete or disable all Registry keys and scheduled tasks related to Microsoft Security Defender and Security Essentials.,https://attack.mitre.org//techniques/T1562/001,DEFENSE_EVASION,,,
"Maze operators have created scheduled tasks masquerading as ""Windows Update Security"", ""Windows Update Security Patches"", and ""Google Chrome Security Update"" designed to launch the ransomware.",https://attack.mitre.org//techniques/T1036/004,DEFENSE_EVASION,,,
StoneDrill has obfuscated its module with an alphabet-based table or XOR encryption.,https://attack.mitre.org//techniques/T1027,DEFENSE_EVASION,,,
"Agent Tesla can inject into known, vulnerable binaries on targeted hosts.",https://attack.mitre.org//techniques/T1055,DEFENSE_EVASION,PRIVILEGE_ESCALATION,,
SLOTHFULMEDIA has collected the username from a victim machine.,https://attack.mitre.org//techniques/T1033,DISCOVERY,,,
"HEXANE has conducted internal spearphishing attacks against executives, HR, and IT personnel to gain information and access.",https://attack.mitre.org//techniques/T1534,LATERAL_MOVEMENT,,,
schtasks is used to schedule tasks on a Windows system to run at a specific date and time.,https://attack.mitre.org//techniques/T1053/005,EXECUTION,PERSISTENCE,PRIVILEGE_ESCALATION,
HOPLIGHT has multiple proxy options that mask traffic between the malware and the remote operators.,https://attack.mitre.org//techniques/T1090,COMMAND_AND_CONTROL,,,
ccf32 can temporarily store files in a hidden directory on the local host.,https://attack.mitre.org//techniques/T1074/001,COLLECTION,,,
Bankshot can terminate a specific process by its process id.,https://attack.mitre.org//techniques/T1543/003,PERSISTENCE,PRIVILEGE_ESCALATION,,
SharpStage has used a legitimate web service for evading detection.,https://attack.mitre.org//techniques/T1102,COMMAND_AND_CONTROL,,,
StrongPity has been signed with self-signed certificates.,https://attack.mitre.org//techniques/T1553/002,DEFENSE_EVASION,,,
"During the SolarWinds Compromise, APT29 renamed software and DLLs with legitimate names to appear benign.",https://attack.mitre.org//techniques/T1036/005,DEFENSE_EVASION,,,
"Silence can create, delete, or modify a specified Registry key or value.",https://attack.mitre.org//techniques/T1112,DEFENSE_EVASION,,,
Fysbis has masqueraded as trusted software rsyncd and dbus-inotifier.,https://attack.mitre.org//techniques/T1036/005,DEFENSE_EVASION,,,
ccf32 can be used to automatically collect files from a compromised host.,https://attack.mitre.org//techniques/T1119,COLLECTION,,,
YAHOYAH uses HTTP GET requests to download other files that are executed in memory.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
xCaon has leveraged native OS function calls to retrieve  victim's network adapter's  information using GetAdapterInfo() API.,https://attack.mitre.org//techniques/T1106,EXECUTION,,,
"Seasalt has masqueraded as a service called ""SaSaut"" with a display name of ""System Authorization Service"" in an apparent attempt to masquerade as a legitimate service.",https://attack.mitre.org//techniques/T1036/004,DEFENSE_EVASION,,,
AADInternals can dump secrets from the Local Security Authority.,https://attack.mitre.org//techniques/T1003/004,CREDENTIAL_ACCESS,,,
Waterbear can inject decrypted shellcode into the LanmanServer service.,https://attack.mitre.org//techniques/T1055,DEFENSE_EVASION,PRIVILEGE_ESCALATION,,
"APT28 has intentionally deleted computer files to cover their tracks, including with use of the program CCleaner.",https://attack.mitre.org//techniques/T1070/004,DEFENSE_EVASION,,,
"During Operation Wocao, threat actors used PowerSploit's Invoke-Kerberoast module to request encrypted service tickets and bruteforce the passwords of Windows service accounts offline.",https://attack.mitre.org//techniques/T1558/003,CREDENTIAL_ACCESS,,,
"Forfiles can be used to act on (ex: copy, move, etc.) files/directories in a system during (ex: copy files into a staging area before).",https://attack.mitre.org//techniques/T1005,COLLECTION,,,
Ember Bear has used an open source batch script to modify Windows Defender registry keys.,https://attack.mitre.org//techniques/T1112,DEFENSE_EVASION,,,
Kimsuky created and used a mailing toolkit to use in spearphishing attacks.,https://attack.mitre.org//techniques/T1587,RESOURCE_DEVELOPMENT,,,
Xbash can execute malicious VBScript payloads on the victim’s machine.,https://attack.mitre.org//techniques/T1059/005,EXECUTION,,,
Sidewinder has used base64 encoding and ECDH-P256 encryption for payloads.,https://attack.mitre.org//techniques/T1027,DEFENSE_EVASION,,,
RCSession can use WinSock API for communication including WSASend and WSARecv.,https://attack.mitre.org//techniques/T1106,EXECUTION,,,
Sykipot may use net view /domain to display hostnames of available systems on a network.,https://attack.mitre.org//techniques/T1018,DISCOVERY,,,
Rising Sun has collected data and files from a compromised host.,https://attack.mitre.org//techniques/T1005,COLLECTION,,,
NanoCore can modify the victim's firewall.,https://attack.mitre.org//techniques/T1562/004,DEFENSE_EVASION,,,
menuPass has been seen changing malicious files to appear legitimate.,https://attack.mitre.org//techniques/T1036/005,DEFENSE_EVASION,,,
ThiefQuest uses various API functions such as NSCreateObjectFileImageFromMemory to load and link in-memory payloads.,https://attack.mitre.org//techniques/T1620,DEFENSE_EVASION,,,
Patchwork removed certain files and replaced them so they could not be retrieved.,https://attack.mitre.org//techniques/T1070/004,DEFENSE_EVASION,,,
TA551 has used obfuscated variable names in a JavaScript configuration file.,https://attack.mitre.org//techniques/T1027/010,DEFENSE_EVASION,,,
EXOTIC LILY has used malicious links to lure users into executing malicious payloads.,https://attack.mitre.org//techniques/T1204/001,EXECUTION,,,
"Okrum's payload is encrypted and embedded within its loader, or within a legitimate PNG file.",https://attack.mitre.org//techniques/T1027/003,DEFENSE_EVASION,,,
"AuTo Stealer can collect data such as PowerPoint files, Word documents, Excel files, PDF files, text files, database files, and image files from an infected machine.",https://attack.mitre.org//techniques/T1005,COLLECTION,,,
Bazar can execute a WMI query to gather information about the installed antivirus engine.,https://attack.mitre.org//techniques/T1047,EXECUTION,,,
Sibot has been executed via a scheduled task.,https://attack.mitre.org//techniques/T1053/005,EXECUTION,PERSISTENCE,PRIVILEGE_ESCALATION,
QakBot can collect system information including the OS version and domain on a compromised host.,https://attack.mitre.org//techniques/T1082,DISCOVERY,,,
"OilRig has run net user, net user /domain, net group ""domain admins"" /domain, and net group ""Exchange Trusted Subsystem"" /domain to get account listings on a victim.",https://attack.mitre.org//techniques/T1087/001,DISCOVERY,,,
"TA2541 has hosted malicious files on various platforms including Google Drive, OneDrive, Discord, PasteText, ShareText, and GitHub.",https://attack.mitre.org//techniques/T1583/006,RESOURCE_DEVELOPMENT,,,
FatDuke can turn itself on or off at random intervals.,https://attack.mitre.org//techniques/T1497/003,DEFENSE_EVASION,DISCOVERY,,
Clambling can browse directories on a compromised host.,https://attack.mitre.org//techniques/T1083,DISCOVERY,,,
Agent.btz attempts to download an encrypted binary from a specified domain.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
BADNEWS is sometimes signed with an invalid Authenticode certificate in an apparent effort to make it look more legitimate.,https://attack.mitre.org//techniques/T1036/001,DEFENSE_EVASION,,,
PlugX decompresses and decrypts itself using the Microsoft API call RtlDecompressBuffer.,https://attack.mitre.org//techniques/T1140,DEFENSE_EVASION,,,
OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.,https://attack.mitre.org//techniques/T1003/004,CREDENTIAL_ACCESS,,,
"XCSSET performs AES-CBC encryption on files under ~/Documents, ~/Downloads, and~/Desktop with a fixed key and renames files to give them a .enc extension. Only files with sizes less than 500MB are encrypted.",https://attack.mitre.org//techniques/T1486,IMPACT,,,
"Dragonfly has used batch scripts to enumerate network information, including information about trusts, zones, and the domain.",https://attack.mitre.org//techniques/T1016,DISCOVERY,,,
Bazar has manually loaded ntdll from disk in order to identity and remove API hooks set by security products.,https://attack.mitre.org//techniques/T1562/001,DEFENSE_EVASION,,,
Elise exfiltrates data using cookie values that are Base64-encoded.,https://attack.mitre.org//techniques/T1132/001,COMMAND_AND_CONTROL,,,
KEYMARBLE has the capability to delete files off the victim’s machine.,https://attack.mitre.org//techniques/T1070/004,DEFENSE_EVASION,,,
Lslsass can dump active logon session password hashes from the lsass process.,https://attack.mitre.org//techniques/T1003/001,CREDENTIAL_ACCESS,,,
"Unknown Logger has functionality to disable security tools, including Kaspersky, BitDefender, and MalwareBytes.",https://attack.mitre.org//techniques/T1562/001,DEFENSE_EVASION,,,
Gelsemium has the ability to distinguish between a standard user and an administrator on a compromised host.,https://attack.mitre.org//techniques/T1033,DISCOVERY,,,
Blue Mockingbird has used wmic.exe to set environment variables.,https://attack.mitre.org//techniques/T1047,EXECUTION,,,
Lokibot has the ability to discover the domain name of the infected host.,https://attack.mitre.org//techniques/T1016,DISCOVERY,,,
Lazarus Group has used a custom hashing method to resolve APIs used in shellcode.,https://attack.mitre.org//techniques/T1027/007,DEFENSE_EVASION,,,
Machete hijacks the clipboard data by creating an overlapped window that listens to keyboard events.,https://attack.mitre.org//techniques/T1115,COLLECTION,,,
"CosmicDuke collects user credentials, including passwords, for various programs including popular instant messaging applications and email clients as well as WLAN keys.",https://attack.mitre.org//techniques/T1555,CREDENTIAL_ACCESS,,,
APT32 used NTFS alternate data streams to hide their payloads.,https://attack.mitre.org//techniques/T1564/004,DEFENSE_EVASION,,,
Zox can download files to a compromised machine.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
TeamTNT has deployed privileged containers that mount the filesystem of victim machine.,https://attack.mitre.org//techniques/T1611,PRIVILEGE_ESCALATION,,,
Mustang Panda has used vssadmin to create a volume shadow copy and retrieve the NTDS.dit file. Mustang Panda has also used reg save on the SYSTEM file Registry location to help extract the NTDS.dit file.,https://attack.mitre.org//techniques/T1003/003,CREDENTIAL_ACCESS,,,
"Maze has created scheduled tasks using name variants such as ""Windows Update Security"", ""Windows Update Security Patches"", and ""Google Chrome Security Update"", to launch Maze at a specific time.",https://attack.mitre.org//techniques/T1053/005,EXECUTION,PERSISTENCE,PRIVILEGE_ESCALATION,
AvosLocker has been disguised as a .jpg file.,https://attack.mitre.org//techniques/T1036/008,DEFENSE_EVASION,,,
Proton kills security tools like Wireshark that are running.,https://attack.mitre.org//techniques/T1562/001,DEFENSE_EVASION,,,
BitPaymer can modify the timestamp of an executable so that it can be identified and restored by the decryption tool.,https://attack.mitre.org//techniques/T1070/006,DEFENSE_EVASION,,,
MoonWind obtains the victim username.,https://attack.mitre.org//techniques/T1033,DISCOVERY,,,
"Rifdoor has added four additional bytes of data upon launching, then saved the changed version as C:\ProgramData\Initech\Initech.exe.",https://attack.mitre.org//techniques/T1027/001,DEFENSE_EVASION,,,
"During the SolarWinds Compromise, APT29 created tokens using compromised SAML signing certificates.",https://attack.mitre.org//techniques/T1606/002,CREDENTIAL_ACCESS,,,
SEASHARPEE can timestomp files on victims using a Web shell.,https://attack.mitre.org//techniques/T1070/006,DEFENSE_EVASION,,,
MuddyWater has used developed tools in Python including Out1.,https://attack.mitre.org//techniques/T1059/006,EXECUTION,,,
Sandworm Team has obtained valid emails addresses while conducting research against target organizations that were subsequently used in spearphishing campaigns.,https://attack.mitre.org//techniques/T1589/002,RECONNAISSANCE,,,
Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts. The group then was able to authenticate to the intended victim's OWA (Outlook Web Access) portal and read hundreds of email communications for information on Middle East organizations.,https://attack.mitre.org//techniques/T1098/002,PERSISTENCE,PRIVILEGE_ESCALATION,,
SDBbot can collected the country code of a compromised machine.,https://attack.mitre.org//techniques/T1614,DISCOVERY,,,
Denis enumerates and collects the username from the victim’s machine.,https://attack.mitre.org//techniques/T1033,DISCOVERY,,,
FLASHFLOOD searches for interesting files (either a default or customized set of file extensions) on removable media and copies them to a staging area. The default file types copied would include data copied to the drive by SPACESHIP.,https://attack.mitre.org//techniques/T1025,COLLECTION,,,
JPIN can list running processes.,https://attack.mitre.org//techniques/T1057,DISCOVERY,,,
KillDisk has called the Windows API to retrieve the hard disk handle and shut down the machine.,https://attack.mitre.org//techniques/T1106,EXECUTION,,,
Dark Caracal leveraged a compiled HTML file that contained a command to download and run an executable.,https://attack.mitre.org//techniques/T1218/001,DEFENSE_EVASION,,,
StrifeWater can collect the user name from the victim's machine.,https://attack.mitre.org//techniques/T1033,DISCOVERY,,,
BLUELIGHT has encoded data into a binary blob using XOR.,https://attack.mitre.org//techniques/T1560/003,COLLECTION,,,
Bundlore can download and execute new versions of itself.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
GOLD SOUTHFIELD has conducted malicious spam (malspam) campaigns to gain access to victim's machines.,https://attack.mitre.org//techniques/T1566,INITIAL_ACCESS,,,
"During C0026, the threat actors re-registered a ClouDNS dynamic DNS subdomain which was previously used by ANDROMEDA.",https://attack.mitre.org//techniques/T1568,COMMAND_AND_CONTROL,,,
"Magic Hound has added the following rule to a victim's Windows firewall to allow RDP traffic - ""netsh"" advfirewall firewall add rule name=""Terminal Server"" dir=in action=allow protocol=TCP localport=3389.",https://attack.mitre.org//techniques/T1562/004,DEFENSE_EVASION,,,
APT39 has modified LNK shortcuts.,https://attack.mitre.org//techniques/T1547/009,PERSISTENCE,PRIVILEGE_ESCALATION,,
XCSSET uses the chmod +x command to grant executable permissions to the malicious file.,https://attack.mitre.org//techniques/T1222/002,DEFENSE_EVASION,,,
"During Operation Wocao, threat actors executed PowerShell commands which were encoded or compressed using Base64, zlib, and XOR.",https://attack.mitre.org//techniques/T1027/010,DEFENSE_EVASION,,,
VERMIN collects keystrokes from the victim machine.,https://attack.mitre.org//techniques/T1056/001,COLLECTION,CREDENTIAL_ACCESS,,
"The Remsec loader implements itself with the name Security Support Provider, a legitimate Windows function. Various Remsec .exe files mimic legitimate file names used by Microsoft, Symantec, Kaspersky, Hewlett-Packard, and VMWare. Remsec also disguised malicious modules using similar filenames as custom network encryption software on victims.",https://attack.mitre.org//techniques/T1036/005,DEFENSE_EVASION,,,
GrimAgent has the ability to download and execute additional payloads.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
Lizar has encrypted data before sending it to the server.,https://attack.mitre.org//techniques/T1560,COLLECTION,,,
Saint Bot can collect the IP address of a victim machine.,https://attack.mitre.org//techniques/T1016,DISCOVERY,,,
Lazarus Group malware WhiskeyAlfa-Three modifies sector 0 of the Master Boot Record (MBR) to ensure that the malware will persist even if a victim machine shuts down.,https://attack.mitre.org//techniques/T1542/003,PERSISTENCE,DEFENSE_EVASION,,
FoggyWeb's loader can check for the FoggyWeb backdoor .pri file on a compromised AD FS server.,https://attack.mitre.org//techniques/T1083,DISCOVERY,,,
Aoqin Dragon has spread malware in target networks by copying modules to folders masquerading as removable devices.,https://attack.mitre.org//techniques/T1570,LATERAL_MOVEMENT,,,
Sliver can encrypt strings at compile time.,https://attack.mitre.org//techniques/T1027,DEFENSE_EVASION,,,
Koadic can run a command on another machine using PsExec.,https://attack.mitre.org//techniques/T1569/002,EXECUTION,,,
"GoldenSpy's uninstaller can delete registry entries, files and folders, and finally itself once these tasks have been completed.",https://attack.mitre.org//techniques/T1070/004,DEFENSE_EVASION,,,
Brute Ratel C4 can use WinRM for pivoting.,https://attack.mitre.org//techniques/T1021/006,LATERAL_MOVEMENT,,,
"DarkVishnya has obtained and used tools such as Impacket, Winexe, and PsExec.",https://attack.mitre.org//techniques/T1588/002,RESOURCE_DEVELOPMENT,,,
KGH_SPY can decrypt encrypted strings and write them to a newly created folder.,https://attack.mitre.org//techniques/T1140,DEFENSE_EVASION,,,
"metaMain has reflectively loaded a DLL to read, decrypt, and load an orchestrator file.",https://attack.mitre.org//techniques/T1620,DEFENSE_EVASION,,,
"Cardinal RAT can collect the hostname, Microsoft Windows version, and processor architecture from a victim machine.",https://attack.mitre.org//techniques/T1082,DISCOVERY,,,
Silence has used scheduled tasks to stage its operation.,https://attack.mitre.org//techniques/T1053/005,EXECUTION,PERSISTENCE,PRIVILEGE_ESCALATION,
"During C0015, the threat actors used WMI to load Cobalt Strike onto additional hosts within a compromised network.",https://attack.mitre.org//techniques/T1570,LATERAL_MOVEMENT,,,
Flagpro has been distributed via spearphishing as an email attachment.,https://attack.mitre.org//techniques/T1566/001,INITIAL_ACCESS,,,
REvil has been executed via malicious MS Word e-mail attachments.,https://attack.mitre.org//techniques/T1204/002,EXECUTION,,,
Egregor has used regsvr32.exe to execute malicious DLLs.,https://attack.mitre.org//techniques/T1218/010,DEFENSE_EVASION,,,
Nomadic Octopus has targeted victims with spearphishing emails containing malicious attachments.,https://attack.mitre.org//techniques/T1566/001,INITIAL_ACCESS,,,
NanHaiShu uses mshta.exe to load its program and files.,https://attack.mitre.org//techniques/T1218/005,DEFENSE_EVASION,,,
GreyEnergy modifies conditions in the Registry and adds keys.,https://attack.mitre.org//techniques/T1112,DEFENSE_EVASION,,,
DarkHydrus used Template Injection to launch an authentication window for users to enter their credentials.,https://attack.mitre.org//techniques/T1187,CREDENTIAL_ACCESS,,,
XAgentOSX contains the deletFileFromPath function to delete a specified file using the NSFileManager:removeFileAtPath method.,https://attack.mitre.org//techniques/T1070/004,DEFENSE_EVASION,,,
"HARDRAIN uses the command cmd.exe /c netsh firewall add portopening TCP 443 ""adp"" and makes the victim machine function as a proxy server.",https://attack.mitre.org//techniques/T1090,COMMAND_AND_CONTROL,,,
GravityRAT uses the netstat command to find open ports on the victim’s machine.,https://attack.mitre.org//techniques/T1049,DISCOVERY,,,
The IceApple Server Variable Dumper module iterates over all server variables present for the current request and returns them to the adversary.,https://attack.mitre.org//techniques/T1082,DISCOVERY,,,
Pasam creates a backdoor through which remote attackers can upload files.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
"Mimikatz performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from the LSASS Memory.",https://attack.mitre.org//techniques/T1003/001,CREDENTIAL_ACCESS,,,
Cuba loaded the payload into memory using PowerShell.,https://attack.mitre.org//techniques/T1620,DEFENSE_EVASION,,,
SeaDuke is capable of persisting via a .lnk file stored in the Startup directory.,https://attack.mitre.org//techniques/T1547/009,PERSISTENCE,PRIVILEGE_ESCALATION,,
AppleSeed can find and collect data from removable media devices.,https://attack.mitre.org//techniques/T1025,COLLECTION,,,
"When executing with non-root permissions, RotaJakiro uses the the shmget API to create shared memory between other known RotaJakiro processes. This allows processes to communicate with each other and share their PID.",https://attack.mitre.org//techniques/T1559,EXECUTION,,,
"OilRig has used net group /domain, net group ""domain admins"" /domain, and net group ""Exchange Trusted Subsystem"" /domain to find domain group permission settings.",https://attack.mitre.org//techniques/T1069/002,DISCOVERY,,,
HermeticWiper has the ability to overwrite its own file with random bites.,https://attack.mitre.org//techniques/T1070/004,DEFENSE_EVASION,,,
Mustang Panda has delivered malicious links to their intended targets.,https://attack.mitre.org//techniques/T1566/002,INITIAL_ACCESS,,,
TA2541 has used malicious scripts and macros with the ability to download additional payloads.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
Nebulae can use CMD to execute a process.,https://attack.mitre.org//techniques/T1059/003,EXECUTION,,,
PLAINTEE collects general system enumeration data about the infected machine and checks the OS version.,https://attack.mitre.org//techniques/T1082,DISCOVERY,,,
"After encryption, Diavol will capture the desktop background window, set the background color to black, and change the desktop wallpaper to a newly created bitmap image with the text ""All your files are encrypted! For more information see ""README-FOR-DECRYPT.txt"".",https://attack.mitre.org//techniques/T1491/001,IMPACT,,,
AppleSeed can disguise JavaScript files as PDFs.,https://attack.mitre.org//techniques/T1036,DEFENSE_EVASION,,,
HAFNIUM has used procdump to dump the LSASS process memory.,https://attack.mitre.org//techniques/T1003/001,CREDENTIAL_ACCESS,,,
Kimsuky has used ipconfig/all to gather network configuration information.,https://attack.mitre.org//techniques/T1016,DISCOVERY,,,
"During Operation Dust Storm, the threat actors relied on a victim clicking on a malicious link sent via email.",https://attack.mitre.org//techniques/T1204/001,EXECUTION,,,
"Sandworm Team has registered domain names and created URLs that are often designed to mimic or spoof legitimate websites, such as email login pages, online file sharing and storage websites, and password reset pages.",https://attack.mitre.org//techniques/T1583/001,RESOURCE_DEVELOPMENT,,,
Brute Ratel C4 can take screenshots on compromised hosts.,https://attack.mitre.org//techniques/T1113,COLLECTION,,,
Dark Caracal leveraged a watering hole to serve up malicious code.,https://attack.mitre.org//techniques/T1189,INITIAL_ACCESS,,,
Fox Kitten has used RDP to log in and move laterally in the target environment.,https://attack.mitre.org//techniques/T1021/001,LATERAL_MOVEMENT,,,
Goopy has had null characters padded in its malicious DLL payload.,https://attack.mitre.org//techniques/T1027/001,DEFENSE_EVASION,,,
zwShell has been copied over network shares to move laterally.,https://attack.mitre.org//techniques/T1021/002,LATERAL_MOVEMENT,,,
CALENDAR has a command to run cmd.exe to execute commands.,https://attack.mitre.org//techniques/T1059/003,EXECUTION,,,
Bonadan can download an additional module which has a cryptocurrency mining extension.,https://attack.mitre.org//techniques/T1496,IMPACT,,,
NETWIRE can retrieve passwords from messaging and mail client applications.,https://attack.mitre.org//techniques/T1555,CREDENTIAL_ACCESS,,,
RGDoor uses cmd.exe to execute commands on the victim’s machine.,https://attack.mitre.org//techniques/T1059/003,EXECUTION,,,
"QuasarRAT has the ability to enumerate the Wide Area Network (WAN) IP through requests to ip-api[.]com, freegeoip[.]net, or api[.]ipify[.]org observed with user-agent string Mozilla/5.0 (Windows NT 6.3; rv:48.0) Gecko/20100101 Firefox/48.0.",https://attack.mitre.org//techniques/T1016,DISCOVERY,,,
FinFisher contains junk code in its functions in an effort to confuse disassembly programs.,https://attack.mitre.org//techniques/T1027/001,DEFENSE_EVASION,,,
SideCopy has sent Microsoft Office Publisher documents to victims that have embedded malicious macros that execute an hta file via calling mshta.exe.,https://attack.mitre.org//techniques/T1059/005,EXECUTION,,,
ObliqueRAT can check for blocklisted process names on a compromised host.,https://attack.mitre.org//techniques/T1057,DISCOVERY,,,
KillDisk attempts to reboot the machine by terminating specific processes.,https://attack.mitre.org//techniques/T1529,IMPACT,,,
"ZxShell has a command called RunAs, which creates a new process as another user or process context.",https://attack.mitre.org//techniques/T1134/002,DEFENSE_EVASION,PRIVILEGE_ESCALATION,,
Kimsuky has used Twitter to monitor potential victims and to prepare targeted phishing e-mails.,https://attack.mitre.org//techniques/T1593/001,RECONNAISSANCE,,,
Chaes requires the user to click on the malicious Word document to execute the next part of the attack.,https://attack.mitre.org//techniques/T1204/002,EXECUTION,,,
NETWIRE has the ability to communicate over HTTP.,https://attack.mitre.org//techniques/T1071/001,COMMAND_AND_CONTROL,,,
BackdoorDiplomacy has copied files of interest to the main drive's recycle bin.,https://attack.mitre.org//techniques/T1074/001,COLLECTION,,,
Comnie executes the netstat -ano command.,https://attack.mitre.org//techniques/T1049,DISCOVERY,,,
WastedLocker can identify network adjacent and accessible drives.,https://attack.mitre.org//techniques/T1135,DISCOVERY,,,
Lucifer can use certutil for propagation on Windows hosts within intranets.,https://attack.mitre.org//techniques/T1570,LATERAL_MOVEMENT,,,
"During Operation CuckooBees, the threat actors used dir c:\\ to search for files.",https://attack.mitre.org//techniques/T1083,DISCOVERY,,,
Backdoor.Oldrea collects information about running processes.,https://attack.mitre.org//techniques/T1057,DISCOVERY,,,
SUNBURST collected a list of process names that were hashed using a FNV-1a + XOR algorithm to check against similarly-hashed hardcoded blocklists.,https://attack.mitre.org//techniques/T1057,DISCOVERY,,,
OceanSalt can extract drive information from the endpoint and search files on the system.,https://attack.mitre.org//techniques/T1083,DISCOVERY,,,
Peirates can list AWS S3 buckets.,https://attack.mitre.org//techniques/T1619,DISCOVERY,,,
JSS Loader has the ability to download and execute PowerShell scripts.,https://attack.mitre.org//techniques/T1059/001,EXECUTION,,,
NanHaiShu can download additional files from URLs.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
MuddyWater has used a custom tool for creating reverse shells.,https://attack.mitre.org//techniques/T1059/003,EXECUTION,,,
PipeMon has modified the Registry to store its encrypted payload.,https://attack.mitre.org//techniques/T1112,DEFENSE_EVASION,,,
Action RAT can collect local data from an infected machine.,https://attack.mitre.org//techniques/T1005,COLLECTION,,,
"FruitFly saves itself with a leading ""."" to make it a hidden file.",https://attack.mitre.org//techniques/T1564/001,DEFENSE_EVASION,,,
APT28 has used spearphishing to compromise credentials.,https://attack.mitre.org//techniques/T1598,RECONNAISSANCE,,,
Turla used net use commands to connect to lateral systems within a network.,https://attack.mitre.org//techniques/T1021/002,LATERAL_MOVEMENT,,,
